Date of Data,Recipient/Sub-Recipient Name,Recipient/Sub-Recipient Address,Recipient/Sub-Recipient City,Recipient/Sub-Recipient State Abbreviation,Recipient/Sub-Recipient ZIP Code,HAB Provider Type Description,Received Part A Funding Indicator,Part A Grantee Name,Part A Grant Number,Received Part B Funding Indicator,Part B Grantee Name,Part B Grant Number,Received Part C Funding Indicator,Part C Grantee Name,Part C Grant Number,Received Part D Funding Indicator,Part D Grantee Name,Part D Grant Number,Reporting Year,HHS Region Number,HHS Region Code,HHS Region Name,State Federal Information Processing Standard Code,State Name,State County FIPS Code,County FIPS,County or County Equivalent Name,County Description,County within 100 Kilometers of U.S. - Mexico Border Indicator,U.S. - Mexico Border 100 Kilometer Status Indicator,U.S. - Mexico Border County Indicator,Complete County Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Congress Number Text,Congressional District Number,Congressional District Name,State FIPS and Congressional District Number Code,U.S. Congressional Representative Name,U.S. Congressional Representative Title,U.S. Representative Party Code,U.S. House of Representatives Member Website,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,Common City Name with State Abbreviation,Common Congressional District Name,Common Congress Number Text,Common County Name with State Abbreviation,Common HHS Region Code,Common HHS Region Name,Common State Abbreviation,Common State County FIPS Code,Common State FIPS Code,Common State FIPS Code Congressional District Number,Common State Name,Common Postal Code,Data Warehouse Record Create Date,Data Warehouse Record Create Date Text,RWHAP Funded Services
03/25/2024,ARCARE,117 S 2nd St,Augusta,AR,72006-2309,Publicly funded community health center,Y,,,Y,ARKANSAS DEPARTMENT OF HEALTH,X07HA00026,Y,,H76HA00711 / H76HA31,Y,ARCARE,H12HA24772,2023,6,06,Region 6,05,Arkansas,05147,147,Woodruff,County            ,N,N,N,Woodruff County,John Boozman,Tom Cotton,118,01,Arkansas District 01,0501,Eric A. “Rick” Crawford,Representative,R,https://crawford.house.gov/,-91.36649643,35.28336269,"Augusta, AR",Arkansas District 01,118,"Woodruff County, AR",06,Region 6,AR,05147,05,0501,Arkansas,72006,07/18/2024,2024/07/18,Administrative or technical support; Outpatient/ambulatory medical care; Local AIDS Pharmaceutical Assistance; Oral health care; Health Insurance Premium & Cost Sharing Assistance; Mental health services; Medical nutrition therapy; Medical case management (including treatment adherence); Substance abuse services-outpatient; Case management (non-medical); Emergency financial assistance; Food bank/home-delivered meals; Health education/risk reduction; Linguistics services; Medical transportation services; Outreach services; Psychosocial support services
03/25/2024,"CAMC HEALTH EDUCATION AND RESEARCH INSTITUTE, INC.",3200 Maccorkle Ave SE,Charleston,WV,25304-1227,Hospital or university-based clinic,Y,,,Y,"Health And Human Resources, West Virginia Department Of",X08HA33782,Y,"CAMC Health Education And Research Institute, Inc.",H76HA00762,Y,,,2023,3,03,Region 3,54,West Virginia,54039,039,Kanawha,County            ,N,N,N,Kanawha County,"Joe, III Manchin",Shelley Moore Capito,118,01,West Virginia District 01,5401,Carol D. Miller,Representative,R,https://miller.house.gov/,-81.60292629,38.32871265,"Charleston, WV",West Virginia District 01,118,"Kanawha County, WV",03,Region 3,WV,54039,54,5401,West Virginia,25304,07/18/2024,2024/07/18,Administrative or technical support; Technical assistance; Outpatient/ambulatory medical care; Local AIDS Pharmaceutical Assistance; Early intervention services (Parts A and B); Mental health services; Medical case management (including treatment adherence); Case management (non-medical); Emergency financial assistance; Food bank/home-delivered meals; Health education/risk reduction; Medical transportation services; Outreach services
03/25/2024,"BOSTON HEALTH CARE FOR THE HOMELESS PROGRAM, INC., THE",,,,,Publicly funded community health center,Y,Boston Public Health Commission,H89HA00011,Y,,,Y,"Boston Health Care For The Homeless Program, Inc., The",H76HA00707,Y,,,2023,,NA,Not Determined,XX,Not Determined,XXXXX,XXX,Not Determined,Not Determined,N,U,,Not Determined,Not Determined,Not Determined,0  ,0 ,Unknown,XXXX,Unknown,Unknown,,Unknown,,,,Not Determined,XX ,Not Determined,NA,Not Determined,XX,XXXXX,XX,XXXX,Not Determined,,07/18/2024,2024/07/18,Quality management; Early intervention services (Parts A and B); Medical case management (including treatment adherence); Emergency financial assistance; Food bank/home-delivered meals; Housing services; Medical transportation services
03/25/2024,CARESOUTH CAROLINA INC,201 S 5th St,Hartsville,SC,29550-4211,Publicly funded community health center,Y,,,Y,,,Y,CARE SOUTH CAROLINA INC,H76HA00713,Y,Eau Claire Cooperative Health Center,H12HA31110,2023,4,04,Region 4,45,South Carolina,45031,031,Darlington,County            ,N,N,N,Darlington County,Lindsey Graham,Tim Scott,118,07,South Carolina District 07,4507,Russell Fry,Representative,R,https://fry.house.gov,-80.0724942,34.37288698,"Hartsville, SC",South Carolina District 07,118,"Darlington County, SC",04,Region 4,SC,45031,45,4507,South Carolina,29550,07/18/2024,2024/07/18,Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Local AIDS Pharmaceutical Assistance; Oral health care; Early intervention services (Parts A and B); Home and community-based health services; Medical nutrition therapy; Medical case management (including treatment adherence); Case management (non-medical); Medical transportation services; Outreach services
03/25/2024,"PUERTO RICAN ORGANIZATION TO MOTIVATE, ENLIGHTEN, AND SERVE ADDICTS, INC, THE",1776 Clay Ave,Bronx,NY,10457-7421,Other community-based service organization (CBO),Y,,,Y,,,Y,"Puerto Rican Organization To Motivate, Enlighten, And Serve Addicts, Inc, The",H76HA00746,Y,,,2023,2,02,Region 2,36,New York,36005,005,Bronx,County            ,N,N,N,Bronx County,Charles E. Schumer,Kirsten E. Gillibrand,118,15,New York District 15,3615,Ritchie Torres,Representative,D,https://ritchietorres.house.gov,-73.90436188,40.84617695,"Bronx, NY",New York District 15,118,"Bronx County, NY",02,Region 2,NY,36005,36,3615,New York,10457,07/18/2024,2024/07/18,Quality management; Outpatient/ambulatory medical care; Medical case management (including treatment adherence); Case management (non-medical)
03/25/2024,HUDSON HEADWATERS HEALTH NETWORK INC,9 Carey Rd,Queensbury,NY,12804-7880,Publicly funded community health center,Y,,,Y,,,Y,HUDSON HEADWATERS HEALTH NETWORK,H76HA00738,Y,,,2023,2,02,Region 2,36,New York,36113,113,Warren,County            ,N,N,N,Warren County,Charles E. Schumer,Kirsten E. Gillibrand,118,21,New York District 21,3621,Elise M. Stefanik,Representative,R,https://stefanik.house.gov/,-73.69022135,43.29577432,"Queensbury, NY",New York District 21,118,"Warren County, NY",02,Region 2,NY,36113,36,3621,New York,12804,07/18/2024,2024/07/18,Outpatient/ambulatory medical care; Oral health care; Early intervention services (Parts A and B); Health Insurance Premium & Cost Sharing Assistance; Mental health services; Medical case management (including treatment adherence); Case management (non-medical); Emergency financial assistance; Food bank/home-delivered meals; Health education/risk reduction; Housing services; Linguistics services; Medical transportation services; Psychosocial support services; Referral for health care/supportive services
03/25/2024,THE BROOKDALE HOSPITAL MEDICAL CENTER,1 Brookdale Plz,Brooklyn,NY,11212-3198,Hospital or university-based clinic,Y,,,Y,"HEALTH RESEARCH, INC.",X07HA00025,Y,,,Y,,,2023,2,02,Region 2,36,New York,36047,047,Kings,County            ,N,N,N,Kings County,Charles E. Schumer,Kirsten E. Gillibrand,118,09,New York District 09,3609,Yvette D. Clarke,Representative,D,https://clarke.house.gov/,-73.91243365,40.65450164,"Brooklyn, NY",New York District 09,118,"Kings County, NY",02,Region 2,NY,36047,36,3609,New York,11212,07/18/2024,2024/07/18,Medical case management (including treatment adherence); Ending the HIV Epidemic Services
03/25/2024,CARILION MEDICAL CENTER,,,,,Hospital or university-based clinic,Y,,,Y,"HEALTH, VIRGINIA DEPARTMENT OF",X07HA00009,Y,CARILION MEDICAL CENTER,H76HA07357,Y,,,2023,,NA,Not Determined,XX,Not Determined,XXXXX,XXX,Not Determined,Not Determined,N,U,,Not Determined,Not Determined,Not Determined,0  ,0 ,Unknown,XXXX,Unknown,Unknown,,Unknown,,,,Not Determined,XX ,Not Determined,NA,Not Determined,XX,XXXXX,XX,XXXX,Not Determined,,07/18/2024,2024/07/18,Outpatient/ambulatory medical care; Oral health care; Health Insurance Premium & Cost Sharing Assistance; Mental health services; Medical nutrition therapy; Medical case management (including treatment adherence); Substance abuse services-outpatient; Case management (non-medical); Emergency financial assistance; Food bank/home-delivered meals; Medical transportation services; Psychosocial support services; Substance abuse services-residential
03/25/2024,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,2500 N State St,Jackson,MS,39216-4500,Hospital or university-based clinic,Y,,,Y,"HEALTH, MISSISSIPPI STATE DEPARTMENT OF",X07HA00036,Y,University of Mississippi Medical Center,H76HA00712,Y,University of Mississippi Medical Center,H12HA24822,2023,4,04,Region 4,28,Mississippi,28049,049,Hinds,County            ,N,N,N,Hinds County,Roger F. Wicker,Cindy Hyde-Smith,118,03,Mississippi District 03,2803,Michael Guest,Representative,R,https://guest.house.gov,-90.17559303,32.33123805,"Jackson, MS",Mississippi District 03,118,"Hinds County, MS",04,Region 4,MS,28049,28,2803,Mississippi,39216,07/18/2024,2024/07/18,Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Oral health care; Early intervention services (Parts A and B); Health Insurance Premium & Cost Sharing Assistance; Mental health services; Medical case management (including treatment adherence); Substance abuse services-outpatient; Case management (non-medical); Emergency financial assistance; Food bank/home-delivered meals; Health education/risk reduction; Housing services; Medical transportation services; Referral for health care/supportive services; Substance abuse services-residential; Other Professional Services
03/25/2024,"HAMILTON HEALTH CENTER, INC.",110 S 17th St,Harrisburg,PA,17104-1123,Publicly funded community health center,Y,,,Y,"Health, Pennsylvania Department Of",X07HA00021,Y,Pinnacle Health Medical Services,H76HA31655,Y,,,2023,3,03,Region 3,42,Pennsylvania,42043,043,Dauphin,County            ,N,N,N,Dauphin County,"Robert P. Casey, Jr.",Patrick J. Toomey,118,10,Pennsylvania District 10,4210,Scott Perry,Representative,R,https://perry.house.gov/,-76.86410333,40.26581737,"Harrisburg, PA",Pennsylvania District 10,118,"Dauphin County, PA",03,Region 3,PA,42043,42,4210,Pennsylvania,17104,07/18/2024,2024/07/18,Administrative or technical support; Quality management; Outpatient/ambulatory medical care; Early intervention services (Parts A and B); Health Insurance Premium & Cost Sharing Assistance; Home and community-based health services; Medical nutrition therapy; Medical case management (including treatment adherence); Case management (non-medical); Emergency financial assistance; Food bank/home-delivered meals; Health education/risk reduction; Housing services; Medical transportation services; Outreach services; Psychosocial support services; Referral for health care/supportive services
